rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,PRESTWICK,100360,100360,0,85006,85006,0,18.06225395
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,EDINBURGH,326066,325919,147,326674,326674,0,-0.186118275
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,GLASGOW,308804,307771,1033,293383,293142,241,5.256268978
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,GUERNSEY,31925,31925,0,14092,14092,0,126.5469742
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,ISLE OF MAN,9272,9272,0,17132,17132,0,-45.87905502
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,ISLES OF SCILLY (ST.MARYS),4579,4579,0,4876,4876,0,-6.091058254
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,JERSEY,49028,49028,0,24398,24398,0,100.9508972
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,LEEDS BRADFORD,0,0,0,55,55,0,
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,MANCHESTER,36644,35514,1130,434,0,434,8343.318359
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,NEWCASTLE,241928,241785,143,111908,111908,0,116.1847229
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,NORWICH,359,0,359,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,NOTTINGHAM EAST MIDLANDS INT'L,116,0,116,272,0,272,-57.35293961
15/04/05 14:21,2004,2003,Other UK Airports,BRISTOL,PLYMOUTH,10413,10413,0,2584,2584,0,302.9798889
15/04/05 14:21,2004,2003,Other UK Airports,BRIZE NORTON,EDINBURGH,13,0,13,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BRIZE NORTON,GLASGOW,11,0,11,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CAMBRIDGE,DUNDEE,0,0,0,3,0,3,
15/04/05 14:21,2004,2003,Other UK Airports,CAMBRIDGE,EDINBURGH,3,0,3,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CAMBRIDGE,GUERNSEY,100,0,100,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CAMPBELTOWN,GLASGOW,8337,8337,0,8225,8225,0,1.361702085
15/04/05 14:21,2004,2003,Other UK Airports,CAMPBELTOWN,ISLAY,45,45,0,11,11,0,309.0909119
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,DURHAM TEES VALLEY,4499,0,4499,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,EDINBURGH,151684,150511,1173,132310,123464,8846,14.64288425
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,FAIRFORD,65,0,65,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,GLASGOW,58,0,58,53876,53876,0,-99.89234161
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,JERSEY,17553,17553,0,42246,42231,15,-58.4505043
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,LEEDS BRADFORD,0,0,0,296,0,296,
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,LIVERPOOL,2132,1782,350,49,0,49,4251.020508
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,MANCHESTER,2360,0,2360,2615,0,2615,-9.751434326
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,NEWCASTLE,19007,19007,0,542,542,0,3406.82666
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,NORWICH,201,201,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,PLYMOUTH,1906,1906,0,70,70,0,2622.857178
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,PRESTWICK,50884,50775,109,36292,36292,0,40.20720673
15/04/05 14:21,2004,2003,Other UK Airports,CARDIFF WALES,SWANSEA,379,379,0,783,783,0,-51.5964241
15/04/05 14:21,2004,2003,Other UK Airports,CITY OF DERRY (EGLINTON),EDINBURGH,0,0,0,328,0,328,
