"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"174","BOURNEMOUTH","MANCHESTER",0.007,"Other Reporting Airports",16,47
"175","BOURNEMOUTH","NEWCASTLE",0.004,"Other Reporting Airports",16,49
"176","BRISTOL","CARDIFF WALES",0,"Other Reporting Airports",17,20
"177","BRISTOL","EDINBURGH",30.5235,"Other Reporting Airports",17,27
"178","BRISTOL","FILTON",0,"Other Reporting Airports",17,31
"179","BRISTOL","GLASGOW",25.7445,"Other Reporting Airports",17,33
"180","BRISTOL","GUERNSEY",2.367,"Other Reporting Airports",17,35
"181","BRISTOL","HAWARDEN",0.8468,"Other Reporting Airports",17,36
"182","BRISTOL","INVERNESS",8.1231,"Other Reporting Airports",17,38
"183","BRISTOL","ISLE OF MAN",0.5179,"Other Reporting Airports",17,39
"184","BRISTOL","ISLES OF SCILLY (ST.MARYS)",0,"Other Reporting Airports",17,40
"185","BRISTOL","JERSEY",3.9779,"Other Reporting Airports",17,41
"186","BRISTOL","LEEDS BRADFORD",0.0916,"Other Reporting Airports",17,44
"187","BRISTOL","MANCHESTER",0.0078,"Other Reporting Airports",17,47
"188","BRISTOL","NEWCASTLE",17.5587,"Other Reporting Airports",17,49
"189","BRISTOL","SOUTHAMPTON",0,"Other Reporting Airports",17,54
"190","CAMBRIDGE","CARDIFF WALES",0.0073,"Other Reporting Airports",18,20
"191","CAMBRIDGE","JERSEY",0.1131,"Other Reporting Airports",18,41
"192","CAMBRIDGE","NEWCASTLE",0.0012,"Other Reporting Airports",18,49
"193","CAMPBELTOWN","GLASGOW",0.9251,"Other Reporting Airports",19,33
"194","CAMPBELTOWN","ISLAY",0.0052,"Other Reporting Airports",19,59
"195","CAMPBELTOWN","PRESTWICK",0.0062,"Other Reporting Airports",19,60
"196","CARDIFF WALES","DURHAM TEES VALLEY",0.0073,"Other Reporting Airports",20,24
"197","CARDIFF WALES","EAST MIDLANDS INTERNATIONAL",0.0059,"Other Reporting Airports",20,25
"198","CARDIFF WALES","EDINBURGH",7.6956,"Other Reporting Airports",20,27
"199","CARDIFF WALES","FARNBOROUGH",0.0143,"Other Reporting Airports",20,30
"200","CARDIFF WALES","GLASGOW",4.8217,"Other Reporting Airports",20,33
"201","CARDIFF WALES","HUMBERSIDE",0.0187,"Other Reporting Airports",20,37
"202","CARDIFF WALES","ISLE OF MAN",0,"Other Reporting Airports",20,39
"203","CARDIFF WALES","JERSEY",1.0637,"Other Reporting Airports",20,41
"204","CARDIFF WALES","LEEDS BRADFORD",0.0093,"Other Reporting Airports",20,44
"205","CARDIFF WALES","LIVERPOOL (JOHN LENNON)",0.0381,"Other Reporting Airports",20,46
"206","CARDIFF WALES","MANCHESTER",0.0632,"Other Reporting Airports",20,47
"207","CARDIFF WALES","NEWCASTLE",1.2546,"Other Reporting Airports",20,49
"208","CARDIFF WALES","NORWICH",0.0232,"Other Reporting Airports",20,51
